"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
2013,NA,"Average",1.9,2292,4,3,1,8,0.107,427100,"CHARLOTTESVILLE"
2013,NA,"Average",1.9,2447,3,2,1,7,0.116,442000,"CHARLOTTESVILLE"
2013,NA,"Average",1.9,2112,4,3,1,8,0.142,422900,"CHARLOTTESVILLE"
2014,NA,"Average",1.9,1808,3,2,1,7,0.126,381700,"CHARLOTTESVILLE"
2015,NA,"Average",1.9,2112,4,3,1,8,0.124,432900,"CHARLOTTESVILLE"
2012,NA,"Average",1.9,2412,4,2,2,7,0.168,450100,"CHARLOTTESVILLE"
2011,NA,"Average",2,2608,5,2,1,8,0.168,465100,"CHARLOTTESVILLE"
2011,NA,"Average",1,2112,4,2,1,7,0.118,401800,"CHARLOTTESVILLE"
2011,NA,"Average",1.9,2288,4,2,1,8,0.103,432500,"CHARLOTTESVILLE"
2011,NA,"Average",2.3,2384,4,2,1,8,0.102,413800,"CHARLOTTESVILLE"
2012,NA,"Average",1.9,2152,4,2,1,8,0.102,423400,"CHARLOTTESVILLE"
2012,NA,"Average",2.3,2384,4,2,1,8,0.112,424700,"CHARLOTTESVILLE"
2009,NA,"Average",1.9,1766,3,2,1,7,0.151,351300,"CHARLOTTESVILLE"
2009,NA,"Average",1.5,1695,3,2,1,7,0.194,355700,"CHARLOTTESVILLE"
2007,NA,"Average",2,2912,4,2,1,8,0.202,467400,"CHARLOTTESVILLE"
2007,NA,"Average",2,3483,4,3,1,8,0.339,490600,"CHARLOTTESVILLE"
2012,NA,"Average",2,2184,4,2,1,7,0.224,420600,"CHARLOTTESVILLE"
2012,NA,"Average",1,2116,3,3,0,7,0.224,488100,"CHARLOTTESVILLE"
2011,NA,"Average",1.7,2762,4,2,1,8,0.231,468100,"CHARLOTTESVILLE"
2012,NA,"Average",2.3,2424,4,2,1,8,0.241,451800,"CHARLOTTESVILLE"
2018,NA,"Average",2,3189,4,4,1,8,0.475,672500,"CROZET"
2011,NA,"Average",2,2384,4,2,1,8,0.24,429900,"CHARLOTTESVILLE"
2012,NA,"Average",2.3,1852,3,2,1,8,0.24,386700,"CHARLOTTESVILLE"
2012,NA,"Average",2,1804,4,3,1,9,0.049,359500,"CHARLOTTESVILLE"
2012,NA,"Average",2,1490,3,3,1,8,0.031,313000,"CHARLOTTESVILLE"
2012,NA,"Average",2,1792,4,3,1,9,0.037,345500,"CHARLOTTESVILLE"
2012,NA,"Average",2,1748,4,3,1,9,0.037,340700,"CHARLOTTESVILLE"
2012,NA,"Average",2,1772,4,3,1,9,0.037,339200,"CHARLOTTESVILLE"
2012,NA,"Average",2,1772,4,3,1,9,0.037,345300,"CHARLOTTESVILLE"
2012,NA,"Average",2,1760,4,3,1,9,0.054,353100,"CHARLOTTESVILLE"
2008,NA,"Average",2,1802,5,3,1,9,0.052,344100,"CHARLOTTESVILLE"
2008,NA,"Average",2,1792,5,3,1,9,0.036,333700,"CHARLOTTESVILLE"
2008,NA,"Average",2,1746,5,3,1,9,0.036,325400,"CHARLOTTESVILLE"
2008,NA,"Average",2,1748,5,3,1,9,0.036,332000,"CHARLOTTESVILLE"
2008,NA,"Average",2,1772,4,3,1,8,0.04,332200,"CHARLOTTESVILLE"
2008,NA,"Average",2,1490,3,2,1,7,0.039,287700,"CHARLOTTESVILLE"
2008,NA,"Average",2,1656,3,2,1,7,0.06,310300,"CHARLOTTESVILLE"
2008,NA,"Average",2,2302,4,2,1,8,0.174,413800,"CHARLOTTESVILLE"
2018,NA,"Average",2,1656,3,3,1,6,0.111,373300,"CHARLOTTESVILLE"
2010,NA,"Average",1.9,2178,4,2,1,8,0.113,392200,"CHARLOTTESVILLE"
2013,NA,"Average",2.5,1782,3,3,0,8,0.134,381900,"CHARLOTTESVILLE"
2012,NA,"Average",2.5,1832,3,3,1,8,0.208,370500,"CHARLOTTESVILLE"
2012,NA,"Average",2,1280,3,2,1,6,0.082,292000,"CHARLOTTESVILLE"
2012,NA,"Average",2,1440,3,2,1,6,0.044,300900,"CHARLOTTESVILLE"
2012,NA,"Average",2,1454,3,2,1,6,0.043,291400,"CHARLOTTESVILLE"
2012,NA,"Average",2,1440,3,2,1,6,0.07,308000,"CHARLOTTESVILLE"
2012,NA,"Average",2,1440,3,2,1,6,0.075,305600,"CHARLOTTESVILLE"
2012,NA,"Average",2,1280,3,2,2,6,0.037,277500,"CHARLOTTESVILLE"
2012,NA,"Average",2,1294,3,2,1,6,0.037,276500,"CHARLOTTESVILLE"
2012,NA,"Average",2,1280,3,2,1,6,0.062,287400,"CHARLOTTESVILLE"
2012,NA,"Average",2,1440,3,2,1,6,0.062,306800,"CHARLOTTESVILLE"
2012,NA,"Average",2,1440,3,2,1,6,0.037,294300,"CHARLOTTESVILLE"
2012,NA,"Average",2,1454,3,2,2,6,0.037,296700,"CHARLOTTESVILLE"
2012,NA,"Average",2,1440,3,2,1,6,0.075,303800,"CHARLOTTESVILLE"
2011,NA,"Average",2,1440,3,3,1,7,0.07,307400,"CHARLOTTESVILLE"
2011,NA,"Average",2,1440,3,2,1,6,0.045,295600,"CHARLOTTESVILLE"
2011,NA,"Average",2,1694,3,2,2,7,0.048,319700,"CHARLOTTESVILLE"
2011,NA,"Average",2,1280,3,2,1,6,0.095,296300,"CHARLOTTESVILLE"
2011,NA,"Average",2,3551,4,3,1,8,0.702,548400,"CROZET"
2012,NA,"Average",1.9,2474,4,3,1,8,0.691,500300,"CROZET"
2011,NA,"Average",2,3148,4,3,2,8,0.746,628900,"CROZET"
2012,NA,"Average",1.3,3061,4,3,1,7,0.707,667300,"CROZET"
2012,NA,"Average",1.9,2244,4,3,1,8,0.702,520700,"CROZET"
2013,NA,"Average",1,3414,4,3,1,8,0.694,672900,"CROZET"
2010,NA,"Average",2,3221,4,3,1,8,0.689,542800,"CROZET"
2010,NA,"Average",1.3,3106,4,3,1,8,0.718,613600,"CROZET"
2012,NA,"Average",2,3811,5,5,1,9,0.69,646400,"CROZET"
2011,NA,"Average",1.9,2479,4,3,1,8,0.69,5e+05,"CROZET"
2011,NA,"Average",2,3476,4,3,1,8,0.68,568500,"CROZET"
2011,NA,"Average",1,3109,4,2,1,8,0.72,610700,"CROZET"
2012,NA,"Average",2,3090,4,4,1,8,0.716,535300,"CROZET"
2012,NA,"Average",1.7,2543,4,3,1,8,0.691,508800,"CROZET"
2010,NA,"Average",1.3,3102,4,3,1,9,0.691,589900,"CROZET"
2012,NA,"Average",2,3111,4,3,2,8,0.692,530500,"CROZET"
2018,NA,"Average",1,2839,3,3,1,7,0.577,699300,"CROZET"
2018,NA,"Average",2,3375,4,4,1,9,0.46,698000,"CROZET"
2017,NA,"Average",2,3446,4,4,1,7,0.459,694600,"CROZET"
2016,NA,"Average",1,2371,3,2,1,8,0.459,574000,"CROZET"
2017,NA,"Average",1.5,2934,3,4,1,8,0.459,649200,"CROZET"
2017,NA,"Average",1.5,2545,3,3,1,5,0.459,629600,"CROZET"
2018,NA,"Average",1,3037,3,3,1,6,0.46,679500,"CROZET"
2017,NA,"Average",2,3929,5,5,1,9,0.459,762100,"CROZET"
2017,NA,"Average",2,3350,4,4,1,7,0.46,7e+05,"CROZET"
2018,NA,"Average",1.8,3974,5,5,1,8,0.459,814100,"CROZET"
2018,NA,"Average",2,2338,3,3,1,8,0.459,582500,"CROZET"
2017,NA,"Average",2,2898,5,4,1,7,0.459,684200,"CROZET"
2017,NA,"Average",1,2312,3,3,1,7,0.462,697500,"CROZET"
2018,NA,"Average",2,3167,5,3,1,8,0.459,671700,"CROZET"
2017,NA,"Average",2,3358,4,4,1,7,0.459,603700,"CROZET"
2017,NA,"Average",2,3082,4,3,1,7,0.459,684800,"CROZET"
2018,NA,"Average",2,3236,4,3,1,7,0.459,701100,"CROZET"
2016,NA,"Average",1,2278,4,3,1,8,0.459,726400,"CROZET"
2016,NA,"Average",2,3768,4,4,2,10,0.46,776000,"CROZET"
2017,NA,"Average",2,3450,5,4,2,8,0.485,746600,"CROZET"
2017,NA,"Average",2,3612,5,4,1,8,0.499,735200,"CROZET"
2017,NA,"Average",2,3744,5,5,1,8,0.479,778800,"CROZET"
2017,NA,"Average",2,3620,5,4,1,7,0.46,662900,"CROZET"
2017,NA,"Average",1.9,4292,5,4,1,8,0.46,787700,"CROZET"
2017,NA,"Average",2,3339,5,4,1,7,0.459,699100,"CROZET"
2017,NA,"Average",1,2308,5,3,1,8,0.468,706600,"CROZET"
2019,NA,"Average",2,2632,4,3,1,6,0.459,615700,"CROZET"
2017,NA,"Average",2,3592,4,3,0,8,0.46,659700,"CROZET"
2017,NA,"Average",2,3757,5,3,1,9,0.462,713200,"CROZET"
2019,NA,"Average",2,4840,6,6,1,10,0.46,878800,"CROZET"
2018,NA,"Average",2,3294,4,3,1,8,0.459,697800,"CROZET"
2017,NA,"Average",1.25,2447,3,3,1,5,0.459,643000,"CROZET"
2014,NA,"Average",2.5,2900,3,3,1,8,0.461,574400,"CROZET"
2013,NA,"Average",1.9,2228,4,2,1,8,0.491,464800,"CROZET"
2013,NA,"Average",1.3,3196,4,3,1,9,0.515,571400,"CROZET"
2015,NA,"Average",2,3105,4,4,0,9,0.593,664000,"CROZET"
2013,NA,"Average",1.3,2788,3,3,0,8,0.571,581900,"CROZET"
2015,NA,"Average",1.5,4160,4,4,1,9,0.53,772300,"CROZET"
2013,NA,"Average",1.3,2804,4,3,1,7,0.543,581500,"CROZET"
2014,NA,"Average",1,2319,4,3,0,7,0.459,586000,"CROZET"
2015,NA,"Average",2,3696,5,4,1,9,0.46,721500,"CROZET"
2013,NA,"Average",2,3626,4,3,1,8,0.461,579100,"CROZET"
2014,NA,"Average",1.7,2421,5,4,1,10,0.459,555000,"CROZET"
2015,NA,"Average",1,1947,4,3,0,8,0.471,632000,"CROZET"
2013,NA,"Average",2,3328,4,4,1,9,0.464,591900,"CROZET"
2014,NA,"Average",2.3,3317,4,3,1,8,0.459,701000,"CROZET"
2014,NA,"Average",2,3934,4,3,1,9,0.46,712500,"CROZET"
2014,NA,"Average",1.3,3204,4,3,1,8,0.459,548600,"CROZET"
2014,NA,"Average",2,3765,4,4,1,8,0.463,593800,"CROZET"
2014,NA,"Average",1.9,4048,4,3,1,8,0.469,689500,"CROZET"
2014,NA,"Average",2,3490,4,4,1,9,0.468,644400,"CROZET"
2013,NA,"Average",1.3,3090,4,4,1,9,0.464,738600,"CROZET"
2013,NA,"Average",1.7,2421,4,3,1,7,0.466,496100,"CROZET"
2013,NA,"Average",2.7,3224,4,4,1,9,0.459,626800,"CROZET"
2019,NA,"Average",1.75,2032,3,2,1,7,0.084,413500,"CROZET"
2015,NA,"Average",2.11,3626,4,3,2,8,0.475,636500,"CROZET"
2015,NA,"Average",1.9,4016,5,3,1,8,0.459,690800,"CROZET"
2015,NA,"Average",2.3,3246,4,4,1,9,0.459,724900,"CROZET"
2015,NA,"Average",1,2124,4,3,0,7,0.459,554800,"CROZET"
2015,NA,"Average",1.3,2876,4,3,1,8,0.459,593400,"CROZET"
2019,NA,"Average",1.75,2492,3,2,1,7,0.109,443400,"CROZET"
2019,NA,"Average",1.5,1800,3,2,1,7,0.084,398100,"CROZET"
2019,NA,"Average",1.75,2032,3,2,1,7,0.085,415300,"CROZET"
2018,NA,"Average",1.75,2208,3,2,1,7,0.117,442500,"CROZET"
2020,NA,"Average",1,1781,2,2,0,6,0.145,499400,"CROZET"
2021,NA,"Average",1,1533,3,2,0,6,0.13,400600,"CROZET"
2020,NA,"Average",2,2412,4,3,0,7,0.118,488600,"CROZET"
2020,NA,"Average",2,1884,3,2,1,7,0.215,433600,"CROZET"
2021,NA,"Average",2,2876,4,3,1,8,0.181,572300,"CROZET"
2020,NA,"Average",2,2352,4,3,1,7,0.1506,478700,"CROZET"
2020,NA,"Average",2,2438,4,2,1,6,0.133,446200,"CROZET"
2020,NA,"Average",2,2054,3,2,1,7,0.183,471300,"CROZET"
2020,NA,"Average",2,3016,4,4,1,9,0.138,703200,"CROZET"
2019,NA,"Average",1.75,2642,3,2,1,6,0.215,532500,"CROZET"
2020,NA,"Average",2,2504,5,3,0,8,0.203,513400,"CROZET"
2020,NA,"Average",2,2054,4,2,1,8,0.148,475800,"CROZET"
2020,NA,"Average",1,2048,4,2,0,7,0.19,581600,"CROZET"
2020,NA,"Average",2,2632,4,2,1,8,0.165,520000,"CROZET"
2021,NA,"Average",2,2322,4,3,1,7,0.154,505300,"CROZET"
2019,NA,"Average",2,2568,3,3,1,7,0.129,599300,"CROZET"
2019,NA,"Average",2,2810,5,4,1,7,0.162,642100,"CROZET"
2020,NA,"Average",2,1824,3,2,1,6,0.138,419900,"CROZET"
2020,NA,"Average",2,2272,4,3,1,7,0.164,504000,"CROZET"
2020,NA,"Average",2,2720,4,3,1,7,0.129,546900,"CROZET"
2021,NA,"Average",2,2056,3,2,1,6,0.154,462400,"CROZET"
2021,NA,"Average",1.75,2089,3,2,1,6,0.143,428100,"CROZET"
2021,NA,"Average",1.75,2071,3,2,1,6,0.078,422100,"CROZET"
2021,NA,"Average",1.5,1767,3,2,1,6,0.078,391900,"CROZET"
2021,NA,"Average",1.75,2077,3,2,1,6,0.123,426700,"CROZET"
2021,NA,"Average",1.75,2089,3,2,1,6,0.131,432600,"CROZET"
2021,NA,"Average",1.75,2089,3,2,1,6,0.116,432600,"CROZET"
2020,NA,"Average",1.75,2075,3,2,1,6,0.144,427700,"CROZET"
2020,NA,"Average",1.75,1951,3,2,1,6,0.08,413600,"CROZET"
2020,NA,"Average",1.75,1951,3,2,1,6,0.08,409000,"CROZET"
2020,NA,"Average",1.75,2057,3,2,1,6,0.105,425700,"CROZET"
2021,NA,"Average",1.75,2208,3,2,1,7,0.103,442200,"CROZET"
2021,NA,"Average",1.5,1767,3,2,1,6,0.078,397700,"CROZET"
2021,NA,"Average",1.75,2192,3,2,1,7,0.079,444000,"CROZET"
2021,NA,"Average",1.5,1767,3,2,1,6,0.079,391900,"CROZET"
2021,NA,"Average",1.75,2075,3,2,1,6,0.106,436500,"CROZET"
2021,NA,"Average",1.75,2075,3,2,1,6,0.107,430600,"CROZET"
2021,NA,"Average",1.75,2015,3,2,1,6,0.08,423100,"CROZET"
2021,NA,"Average",1.75,2071,3,2,1,6,0.081,422100,"CROZET"
2021,NA,"Average",1.75,2107,3,2,1,6,0.127,429300,"CROZET"
2021,NA,"Average",1.75,2208,3,2,1,7,0.107,441200,"CROZET"
2021,NA,"Average",1.75,2219,3,2,1,6,0.078,437800,"CROZET"
2021,NA,"Average",1.5,1800,3,2,1,6,0.079,400900,"CROZET"
2021,NA,"Average",1.75,2221,3,2,1,6,0.08,442600,"CROZET"
2021,NA,"Average",1.5,1800,3,2,1,7,0.081,400900,"CROZET"
2021,NA,"Average",1.75,2222,3,2,1,6,0.097,438100,"CROZET"
2021,NA,"Average",2,1824,4,2,1,6,0.131,422500,"CROZET"
2021,NA,"Average",2,2110,4,3,1,7,0.11,447700,"CROZET"
2021,NA,"Average",2,2352,3,2,1,7,0.131,447600,"CROZET"
2021,NA,"Average",2,1804,3,2,1,6,0.11,422400,"CROZET"
2021,NA,"Average",2,2060,4,2,1,7,0.131,424700,"CROZET"
2021,NA,"Average",1.5,2506,3,2,1,6,0.119,543100,"CROZET"
2019,NA,"Average",1.75,2403,3,2,1,6,0.0985,457000,"CROZET"
2019,NA,"Average",1.75,2119,3,2,1,6,0.0808,424500,"CROZET"
2019,NA,"Average",1.75,1863,3,2,1,6,0.0808,399200,"CROZET"
2019,NA,"Average",1.75,2211,3,2,1,6,0.0764,446300,"CROZET"
2019,NA,"Average",1.75,2211,3,2,1,6,0.0926,443400,"CROZET"
2019,NA,"Average",1.75,1863,3,2,1,6,0.076,403300,"CROZET"
2019,NA,"Average",1.75,1863,3,2,1,6,0.076,399200,"CROZET"
2019,NA,"Average",1.75,1819,3,2,1,6,0.0918,398600,"CROZET"
2019,NA,"Average",1.75,2219,3,2,1,6,0.1051,444600,"CROZET"
2019,NA,"Average",1.75,1870,3,2,1,6,0.082,400900,"CROZET"
2019,NA,"Average",1.75,2218,3,2,1,6,0.084,433100,"CROZET"
2019,NA,"Average",1.75,2219,3,2,1,6,0.086,440400,"CROZET"
2019,NA,"Average",1.75,2222,3,2,1,6,0.132,442400,"CROZET"
2019,NA,"Average",1.75,2191,3,2,1,6,0.092,446000,"CROZET"
2019,NA,"Average",1.75,2179,3,2,1,6,0.081,436800,"CROZET"
2019,NA,"Average",1.75,2347,3,2,1,6,0.081,447400,"CROZET"
2019,NA,"Average",1.75,2179,3,2,1,6,0.082,433300,"CROZET"
2019,NA,"Average",1.75,2179,3,2,1,6,0.098,435400,"CROZET"
2020,NA,"Average",1.75,2081,3,2,1,6,0.1041,426700,"CROZET"
2020,NA,"Average",1.75,1959,3,2,1,6,0.0724,409800,"CROZET"
2020,NA,"Average",1.75,1991,3,2,1,6,0.0708,413400,"CROZET"
2020,NA,"Average",1.75,1959,3,2,1,6,0.0724,409800,"CROZET"
2020,NA,"Average",1.75,2017,3,2,1,6,0.0946,418000,"CROZET"
2019,NA,"Average",1.75,1846,3,2,1,6,0.1051,405600,"CROZET"
2019,NA,"Average",1.75,2219,3,2,1,6,0.0899,418600,"CROZET"
2019,NA,"Average",1.75,2191,3,2,1,6,0.1244,427200,"CROZET"
2019,NA,"Average",1.75,1988,3,2,1,7,0.102,419100,"CROZET"
2019,NA,"Average",1.75,1988,3,2,1,7,0.116,416600,"CROZET"
2020,NA,"Average",1.75,2106,3,2,1,6,0.113,426700,"CROZET"
2020,NA,"Average",1.75,1978,3,2,1,6,0.089,411900,"CROZET"
2020,NA,"Average",1.75,2140,3,2,1,6,0.087,415200,"CROZET"
2020,NA,"Average",1.75,2029,3,2,1,6,0.108,429200,"CROZET"
2019,NA,"Average",1.75,2106,3,2,1,6,0.104,451300,"CROZET"
2019,NA,"Average",1.75,1978,3,2,1,6,0.075,408900,"CROZET"
2019,NA,"Average",1.75,2176,3,2,1,6,0.075,453200,"CROZET"
2019,NA,"Average",1.75,2198,3,2,1,6,0.092,475500,"CROZET"
2015,NA,"Average",2,3632,5,5,1,8,0.459,775000,"CROZET"
2018,NA,"Average",2,3214,4,4,1,8,0.46,649100,"CROZET"
2018,NA,"Average",1,2005,4,3,1,7,0.47,649700,"CROZET"
2018,NA,"Average",1,2823,4,4,1,8,0.47,819500,"CROZET"
2020,NA,"Average",2,2630,4,2,1,8,0.47,556100,"CROZET"
2020,NA,"Average",1,2066,3,3,1,6,0.46,602700,"CROZET"
2020,NA,"Average",2,2705,5,4,1,8,0.46,601600,"CROZET"
2020,NA,"Average",1,2230,4,3,1,9,0.46,581200,"CROZET"
2018,NA,"Average",1.75,3698,4,3,1,8,0.46,909700,"CROZET"
2018,NA,"Average",2,2849,5,3,1,9,0.46,689400,"CROZET"
2018,NA,"Average",2,3456,4,4,1,8,0.48,725500,"CROZET"
2019,NA,"Average",2,3500,5,4,1,8,0.47,743700,"CROZET"
2018,NA,"Average",1.5,2908,3,2,1,7,0.48,640000,"CROZET"
2021,NA,"Average",2,3318,4,3,1,8,0.46,673300,"CROZET"
2021,NA,"Average",2,4636,4,3,1,8,0.49,786000,"CROZET"
2019,NA,"Average",2,3548,4,3,2,8,0.48,728600,"CROZET"
2019,NA,"Average",1,2479,3,3,1,6,0.46,692400,"CROZET"
2020,NA,"Average",1,2671,3,3,1,7,0.46,786400,"CROZET"
2019,NA,"Average",2,3534,4,4,1,9,0.47,712200,"CROZET"
2021,NA,"Average",2,2630,4,3,2,8,0.47,542500,"CROZET"
2018,NA,"Average",2,3731,4,4,1,8,0.48,746400,"CROZET"
2018,NA,"Average",1.75,2888,4,4,1,8,0.47,703400,"CROZET"
2018,NA,"Average",1.25,2832,2,3,1,6,0.49,660200,"CROZET"
2019,NA,"Average",1,2441,4,3,0,8,0.59,743900,"CROZET"
2018,NA,"Average",2,3210,5,5,1,9,0.46,709000,"CROZET"
2018,NA,"Average",2,3282,4,3,1,8,0.47,669400,"CROZET"
2019,NA,"Average",1,2064,3,3,0,7,0.49,696200,"CROZET"
2018,NA,"Average",1,1905,3,2,1,7,0.47,589300,"CROZET"
2020,NA,"Average",1.25,2807,3,3,1,7,0.46,668000,"CROZET"
2020,NA,"Average",2,3572,4,4,1,8,0.459,714300,"CROZET"
2019,NA,"Average",2,2628,5,3,1,8,0.459,623500,"CROZET"
2021,NA,"Average",1.5,2026,3,4,1,7,0.459,576600,"CROZET"
2021,NA,"Average",1,1939,3,2,0,6,0.459,563400,"CROZET"
2019,NA,"Average",1.25,2678,3,3,1,6,0.463,667200,"CROZET"
2020,NA,"Average",2,3713,5,4,1,9,0.464,697300,"CROZET"
2020,NA,"Average",1.25,2802,5,3,1,8,0.459,678700,"CROZET"
2021,NA,"Average",2,3621,4,3,1,8,0.486,658600,"CROZET"
2021,NA,"Average",2,3624,4,3,1,8,0.494,653300,"CROZET"
2021,NA,"Average",2,3493,4,3,1,8,0.495,738400,"CROZET"
2021,NA,"Average",2,3513,4,3,1,8,0.504,638800,"CROZET"
2020,NA,"Average",2,3556,6,5,1,9,0.489,750500,"CROZET"
2019,NA,"Average",2,3317,4,3,1,8,0.506,608000,"CROZET"
2019,NA,"Average",1,2400,3,2,0,7,0.5,673800,"CROZET"
2019,NA,"Average",2,3477,5,4,1,8,0.476,678700,"CROZET"
2020,NA,"Average",2,3477,4,4,1,7,0.484,644000,"CROZET"
2020,NA,"Average",2,2660,3,3,1,8,0.466,554000,"CROZET"
2020,NA,"Average",2,2768,4,3,1,9,0.46,548200,"CROZET"
2020,NA,"Average",2,3317,4,3,1,7,0.462,589200,"CROZET"
2021,NA,"Average",2,3363,4,3,1,8,0.46,641700,"CROZET"
2021,NA,"Average",1,2002,3,2,0,7,0.46,590900,"CROZET"
2020,NA,"Average",1.25,3432,3,4,0,6,0.484,732000,"CROZET"
2021,NA,"Average",2,2814,5,4,3,8,0.46,729600,"CROZET"
2021,NA,"Average",2,3360,4,4,1,8,0.505,643800,"CROZET"
2020,NA,"Average",2,3465,4,4,1,8,0.46,705600,"CROZET"
2020,NA,"Average",1.25,3036,4,4,1,9,0.46,663600,"CROZET"
2021,NA,"Average",2,3716,4,4,1,8,0.46,768900,"CROZET"
2020,NA,"Average",2,3396,5,4,1,10,0.507,740400,"CROZET"
2021,NA,"Average",2,3572,4,3,1,8,0.46,628700,"CROZET"
2019,NA,"Average",2,3173,5,4,1,8,0.46,724000,"CROZET"
2021,NA,"Average",2,3568,4,3,1,8,0.462,709800,"CROZET"
2021,NA,"Average",2,4143,5,5,1,8,0.46,761200,"CROZET"
2021,NA,"Average",2,4089,4,4,1,9,0.465,719600,"CROZET"
2021,NA,"Average",1,2352,3,2,0,6,0.478,592400,"CROZET"
2020,NA,"Average",2,3164,4,3,1,9,0.46,722700,"CROZET"
2019,NA,"Average",2,3317,4,4,1,8,0.46,650200,"CROZET"
2021,NA,"Average",2,3474,4,3,1,7,0.46,650900,"CROZET"
2020,NA,"Average",2,3030,5,4,1,9,0.464,821600,"CROZET"
2021,NA,"Average",2,3656,4,4,0,7,0.46,662700,"CROZET"
2021,NA,"Average",1,2256,4,4,1,6,0.462,782200,"CROZET"
2020,NA,"Average",2,3036,5,4,1,8,0.46,680100,"CROZET"
2019,NA,"Average",2,3143,4,2,1,8,0.46,653600,"CROZET"
2021,NA,"Average",2,2221,5,3,1,7,0.46,583500,"CROZET"
2019,NA,"Average",2,3990,5,4,1,9,0.46,720300,"CROZET"
2021,NA,"Average",2,4165,5,4,1,9,0.464,863200,"CROZET"
2020,NA,"Average",1.75,3669,4,4,1,8,0.476,760900,"CROZET"
2019,NA,"Average",1.75,2883,3,3,1,7,0.467,689500,"CROZET"
2020,NA,"Average",2,3473,4,4,1,10,0.462,708500,"CROZET"
2020,NA,"Average",2.5,3995,4,5,1,10,0.54,723600,"CROZET"
2019,NA,"Average",1.25,2762,3,3,1,7,0.47,673700,"CROZET"
2020,NA,"Average",1.25,2863,3,3,0,6,0.46,672900,"CROZET"
2019,NA,"Average",2,3091,5,4,1,8,0.518,664700,"CROZET"
2020,NA,"Average",2,3834,6,6,2,10,0.464,931800,"CROZET"
2020,NA,"Average",2,2056,4,3,1,7,0.472,562000,"CROZET"
2021,NA,"Average",1.5,3281,3,2,1,6,0.462,762500,"CROZET"
2019,NA,"Average",2,3132,4,2,1,7,0.46,686800,"CROZET"
2020,NA,"Average",2,3243,5,4,1,10,0.462,752800,"CROZET"
2017,NA,"Average",2,2880,4,2,1,8,0.461,592900,"CROZET"
2018,NA,"Average",2,2577,4,4,1,8,0.461,597400,"CROZET"
2017,NA,"Average",2,2748,4,2,1,7,0.459,611100,"CROZET"
2017,NA,"Average",2,2616,4,2,1,8,0.461,593700,"CROZET"
2017,NA,"Average",2,2764,4,3,0,7,0.459,590500,"CROZET"
2016,NA,"Average",2,2723,5,3,1,8,0.462,603000,"CROZET"
2016,NA,"Average",2,2856,4,2,1,8,0.462,612000,"CROZET"
2017,NA,"Average",2,2400,4,2,1,7,0.46,553800,"CROZET"
2019,NA,"Average",2,2280,4,2,1,7,0.475,555800,"CROZET"
2019,NA,"Average",2,2040,4,4,1,8,0.483,559900,"CROZET"
2019,NA,"Average",2,2946,4,2,1,8,0.459,639100,"CROZET"
2016,NA,"Average",2,2756,4,3,1,8,0.459,597200,"CROZET"
2018,NA,"Average",2,2820,5,4,1,9,0.459,645400,"CROZET"
2018,NA,"Average",2,2660,4,2,1,8,0.459,562400,"CROZET"
2017,NA,"Average",2,2746,4,3,1,6,0.459,612900,"CROZET"
2017,NA,"Average",2,2984,5,5,1,9,0.459,701800,"CROZET"
2017,NA,"Average",2,3112,4,2,1,10,0.471,644600,"CROZET"
2018,NA,"Average",1,1867,4,3,0,7,0.459,553800,"CROZET"
2020,NA,"Average",2,2524,5,3,1,8,0.459,589700,"CROZET"
2019,NA,"Average",2,2360,4,3,1,7,0.459,586300,"CROZET"
2017,NA,"Average",2,2826,4,4,1,8,0.459,637700,"CROZET"
2017,NA,"Average",2,2426,4,2,1,7,0.459,569800,"CROZET"
2017,NA,"Average",2,2820,4,2,1,7,0.459,569600,"CROZET"
2019,NA,"Average",2,2400,4,2,1,7,0.459,551300,"CROZET"
2020,NA,"Average",2,2400,4,3,1,7,0.482,529700,"CROZET"
2018,NA,"Average",2,2859,4,3,1,9,0.459,651100,"CROZET"
2019,NA,"Average",1,1708,4,2,1,8,0.545,535100,"CROZET"
2019,NA,"Average",2,2400,4,2,1,7,0.467,586400,"CROZET"
2018,NA,"Average",2,2657,4,4,1,8,0.459,642700,"CROZET"
2018,NA,"Average",1,1865,4,3,0,8,0.459,537500,"CROZET"
2018,NA,"Average",2,2680,5,3,1,9,0.459,635800,"CROZET"
2018,NA,"Average",2,2634,4,3,1,8,0.459,577300,"CROZET"
2020,NA,"Average",2,2340,4,3,1,7,0.459,566800,"CROZET"
2019,NA,"Average",2,2280,4,2,1,8,0.459,516100,"CROZET"
2019,NA,"Average",2,2520,4,2,1,7,0.46,570500,"CROZET"
2019,NA,"Average",2,2756,5,4,1,8,0.459,648400,"CROZET"
2019,NA,"Average",2,2400,4,3,1,7,0.459,606800,"CROZET"
2019,NA,"Average",2,2920,4,3,1,8,0.459,546400,"CROZET"
2019,NA,"Average",2,3117,4,3,1,8,0.459,726300,"CROZET"
2019,NA,"Average",2,2377,5,3,1,9,0.459,613400,"CROZET"
2018,NA,"Average",2,2994,5,3,1,9,0.474,654400,"CROZET"
2018,NA,"Average",2,2822,6,4,1,8,0.473,608200,"CROZET"
2018,NA,"Average",2,2882,5,3,1,9,0.459,665100,"CROZET"
2019,NA,"Average",2,2168,4,3,0,8,0.459,440300,"CHARLOTTESVILLE"
